Exp_type,RA_setup,SA_setup,U_setup,CRS,UR1,UR2,UR3,SR,Auth,Sub,Sub2,User,RA,SA,Tot(ms)
orig., 1, 1, 0, 0, 11, 12, 4, 0, 3, 158, 248, 174, 14, 250, 443
orig., 1, 1, 0, 0, 10, 11, 4, 0, 3, 157, 249, 172, 13, 252, 441
orig., 1, 1, 0, 0, 10, 14, 9, 2, 6, 175, 248, 195, 15, 252, 470
orig., 1, 1, 0, 0, 6, 18, 7, 2, 4, 158, 247, 172, 20, 251, 448
orig., 3, 5, 1, 0, 12, 8, 3, 0, 3, 157, 247, 176, 11, 254, 445
orig., 1, 1, 0, 0, 11, 11, 3, 0, 3, 149, 236, 165, 12, 238, 420
orig., 1, 1, 0, 0, 8, 13, 3, 0, 3, 156, 247, 169, 14, 249, 438
orig., 1, 1, 0, 0, 10, 11, 4, 0, 3, 158, 247, 173, 13, 250, 440
orig., 1, 1, 0, 0, 9, 12, 4, 1, 3, 158, 248, 172, 14, 251, 442
orig., 1, 1, 0, 0, 13, 10, 4, 0, 3, 159, 241, 177, 12, 244, 437
orig., 1, 1, 0, 0, 10, 11, 3, 0, 3, 158, 248, 172, 13, 251, 441
orig., 1, 1, 0, 0, 11, 10, 3, 0, 3, 158, 248, 173, 12, 251, 441
orig., 1, 1, 0, 0, 9, 13, 4, 0, 3, 159, 248, 173, 15, 251, 443
orig., 1, 1, 0, 0, 6, 12, 6, 1, 4, 182, 250, 195, 13, 254, 467
orig., 3, 3, 1, 0, 14, 8, 4, 0, 3, 158, 248, 178, 12, 253, 448
orig., 1, 1, 0, 0, 11, 11, 3, 0, 3, 158, 249, 174, 13, 251, 442
orig., 3, 3, 0, 0, 14, 8, 4, 0, 3, 158, 248, 177, 11, 253, 445
orig., 3, 3, 0, 0, 11, 9, 4, 0, 3, 158, 249, 174, 12, 254, 444
orig., 1, 1, 0, 0, 11, 11, 3, 0, 3, 159, 248, 174, 13, 251, 443
orig., 1, 1, 0, 0, 11, 12, 3, 0, 3, 158, 248, 174, 13, 250, 442
orig., 1, 1, 0, 0, 9, 11, 3, 0, 3, 150, 236, 164, 12, 238, 418
orig., 1, 1, 0, 0, 8, 12, 3, 0, 3, 157, 248, 170, 14, 250, 438
orig., 1, 1, 0, 0, 14, 16, 3, 0, 3, 157, 248, 176, 18, 251, 449
orig., 1, 1, 0, 0, 12, 10, 3, 0, 3, 150, 236, 167, 12, 239, 422
orig., 3, 3, 0, 0, 12, 8, 4, 0, 3, 158, 248, 176, 11, 253, 444
orig., 1, 1, 0, 0, 8, 12, 3, 1, 3, 157, 248, 170, 14, 251, 439
orig., 1, 1, 0, 0, 11, 12, 3, 0, 3, 159, 248, 175, 14, 251, 445
orig., 1, 1, 0, 0, 11, 11, 4, 0, 3, 158, 249, 174, 13, 251, 443
orig., 1, 1, 0, 0, 10, 11, 3, 0, 3, 159, 250, 174, 13, 252, 443
orig., 1, 1, 0, 0, 11, 11, 3, 0, 3, 158, 249, 173, 13, 251, 442
orig., 1, 1, 0, 0, 10, 11, 4, 0, 3, 159, 249, 174, 13, 252, 443
orig., 1, 1, 0, 0, 11, 11, 3, 0, 3, 158, 248, 174, 13, 251, 443
orig., 1, 1, 0, 0, 10, 10, 3, 0, 3, 150, 235, 164, 12, 238, 419
orig., 1, 1, 0, 0, 9, 12, 3, 0, 3, 156, 248, 170, 13, 251, 439
orig., 1, 1, 0, 0, 10, 12, 3, 0, 3, 158, 253, 173, 14, 256, 447
